blogger,max(influence_score)
Tyler Durden,3024
Header Menu,-31.5
Blog | Zero Hedge,-31.5
Donate | Zero Hedge,-31.5
 Zero Hedgeï¿½ï¿½ï¿½s Co,-34.5
 Sol Sanders ,-34.5
 Edward Pinto,-35.4
 Scot J. Paltrow,-35.7
 Vitaliy N. Katsenelson,-35.7
 KT,-35.7
 msnbc.com staff,-36
Michael Hudson,-36.6
 making an outstanding lure,-36.9
 ,-37.2
BY Celeste Katz,-37.5
 Vitaliy Katsenelson,-37.8
" John
Mauldin",-38.4
JOE NOCERA,-39
 clicking here,-39.9
 Reggie Middleton,-39.9
 Prashant Gopal,-44.4
ýýýýýýý,-47.7
